fire_size_class
C
B
C
B
B
B
B
B
B
B
B
C
B
B
B
B
B
B
B
C
B
B
B
B
C
B
B
B
B
C
B
B
B
B
B
C
F
B
C
C
B
C
B
B
C
B
B
B
C
B
C
B
B
C
B
B
C
D
B
C
C
B
B
B
B
B
B
B
C
C
C
B
B
C
B
B
B
B
E
B
B
B
B
C
D
B
C
B
B
B
B
C
B
B
B
B
B
B
C
C
B
B
C
C
B
C
B
B
B
B
C
B
B
C
B
B
B
F
B
B
C
B
B
B
B
B
C
B
B
B
C
B
B
B
B
B
C
B
B
B
C
B
B
C
B
B
B
B
B
C
D
B
B
C
B
C
C
B
C
D
B
B
B
B
B
C
C
B
B
B
B
B
B
C
C
B
B
C
C
B
B
B
B
B
B
B
B
B
B
C
B
B
B
C
C
B
B
B
B
B
B
B
B
B
B
B
B
C
B
B
B
B
B
B
D
B
B
B
C
B
B
B
B
B
B
B
B
C
B
B
B
B
C
B
F
B
E
C
C
B
D
B
B
B
C
B
B
B
E
C
B
C
B
B
C
E
E
E
C
B
B
B
C
B
C
C
B
B
C
D
B
B
B
B
B
B
B
B
C
D
B
B
B
B
C
B
B
C
B
C
B
C
B
B
C
B
B
B
C
B
C
C
B
C
B
C
B
B
B
B
B
B
B
B
B
C
B
B
B
B
C
C
C
B
B
B
C
B
B
B
B
B
D
C
C
B
C
B
B
D
C
C
C
B
B
B
C
B
B
C
B
B
B
B
C
B
B
B
C
C
B
B
C
B
B
C
C
B
B
C
B
B
C
B
B
B
B
B
B
B
B
B
B
C
B
E
B
B
C
B
B
C
C
B
B
C
B
B
B
B
C
C
B
B
C
B
B
C
C
B
C
C
B
B
B
B
B
B
B
B
B
B
B
B
E
B
B
B
B
B
B
C
D
B
C
B
B
B
B
C
B
B
B
B
B
B
C
C
B
B
B
B
C
B
B
C
B
B
C
B
B
B
B
B
B
B
B
B
B
B
B
B
B
C
B
B
B
B
C
B
B
B
B
B
B
C
B
B
B
B
C
B
B
B
B
B
B
B
B
C
B
B
B
B
B
B
B
B
B
B
C
B
B
B
B
D
B
B
C
B
C
B
B
B
B
C
C
B
B
B
B
C
C
C
B
B
B
B
B
E
B
C
B
B
B
B
B
B
C
B
C
B
B
B
C
B
B
B
B
B
B
B
B
B
C
B
C
B
C
B
B
B
B
B
B
B
C
B
B
C
D
B
B
B
B
B
B
B
B
C
B
B
B
B
B
C
B
B
C
C
B
B
B
B
B
B
B
C
C
B
B
C
B
C
B
B
B
B
B
C
B
B
B
B
B
B
B
B
C
B
B
B
B
F
B
B
C
B
B
B
D
B
B
B
C
C
B
B
C
B
E
B
E
B
F
B
B
C
B
B
B
B
B
B
B
C
B
B
B
B
B
D
B
C
B
B
B
B
B
B
C
B
B
B
B
C
B
B
B
B
B
B
B
B
B
B
B
B
B
C
B
B
C
B
B
C
B
C
B
B
B
C
B
E
B
B
C
B
B
B
C
C
B
B
B
B
C
C
B
B
B
C
B
E
G
B
B
B
B
B
C
B
B
C
B
B
B
B
C
C
B
B
C
B
B
C
B
D
C
C
C
C
B
B
C
B
D
B
B
C
B
B
C
C
B
B
C
B
B
B
B
D
B
B
B
B
C
B
B
B
C
B
C
B
B
B
B
B
B
B
B
B
B
B
B
C
C
C
B
B
B
C
B
B
C
B
C
B
B
B
B
B
B
B
B
C
B
B
B
B
D
B
C
D
D
B
D
B
B
B
B
B
B
B
B
C
D
B
C
B
B
C
C
B
C
B
B
B
C
B
B
B
B
B
B
C
B
B
B
B
B
B
B
B
B
D
B
B
B
B
C
C
B
C
B
B
B
B
B
B
C
B
C
B
B
B
B
B
C
B
B
B
B
C
C
B
B
B
C
E
C
B
C
B
B
B
B
B
C
C
B
B
E
B
B
B
B
B
B
B
B
C
B
B
C
B
B
C
C
C
C
B
B
C
B
B
B
D
B
C
B
D
C
B
B
C
B
B
B
C
B
B
B
D
B
C
B
B
B
B
B
B
B
B
C
B
B
B
C
C
B
B
B
C
B
D
C
B
C
C
C
B
C
B
B
B
C
B
B
B
B
B
B
B
B
B
B
B
B
B
B
C
B
E
B
B
C
B
B
B
B
B
B
B
B
B
C
C
B
B
C
B
C
C
C
B
B
B
C
B
B
C
C
C
B
B
B
B
B
B
B
B
B
B
B
B
B
B
C
C
C
C
B
B
C
C
B
B
B
B
B
B
C
B
B
B
B
C
C
B
B
D
C
B
B
B
B
B
B
B
B
C
B
B
B
B
B
B
B
C
B
E
B
B
B
C
B
B
B
B
C
C
B
C
B
B
C
B
B
C
B
B
D
B
B
B
B
B
C
B
B
D
C
B
B
C
B
B
B
B
C
B
B
B
B
B
F
B
B
B
B
B
B
B
B
B
B
B
C
B
D
B
B
B
B
B
B
B
B
B
B
B
C
B
C
C
B
B
C
C
B
C
B
C
B
B
B
B
B
B
D
B
C
B
B
C
B
B
E
B
B
B
B
B
B
B
D
C
B
B
B
B
E
D
B
E
B
B
B
C
B
B
C
C
C
B
B
E
B
B
C
C
B
B
B
C
B
B
C
E
B
E
B
C
C
B
C
B
B
C
C
C
C
C
B
B
B
C
B
B
C
B
B
B
B
B
B
B
C
C
B
C
B
B
C
B
C
B
C
B
C
B
B
B
B
B
C
C
C
B
B
C
B
B
B
C
B
B
C
B
C
B
B
B
F
B
B
B
B
B
B
C
B
B
B
B
B
C
D
B
B
B
C
B
B
B
B
B
C
B
B
E
B
B
B
B
B
B
C
B
C
B
B
B
B
B
B
B
B
B
B
C
B
B
B
D
B
B
C
B
B
B
B
B
B
B
B
B
B
B
B
C
B
B
B
C
B
B
B
C
B
C
C
B
E
B
C
C
C
B
B
B
B
F
B
B
B
C
C
B
C
B
B
B
B
B
B
B
B
B
C
C
B
C
B
B
B
C
B
B
B
B
B
C
C
B
E
C
B
C
B
B
B
B
B
B
B
B
C
D
B
G
B
B
C
B
B
B
B
B
B
B
B
B
B
C
C
B
B
B
B
C
D
C
B
D
C
B
C
D
B
B
B
B
B
B
C
B
B
B
B
B
B
B
B
C
B
B
C
B
C
C
B
B
B
C
B
B
B
B
B
B
C
B
C
E
C
B
B
B
B
B
B
C
B
B
C
B
B
B
B
B
B
B
B
B
B
